review,symbol_puntuation_removal,case_folding,tokenized,normalized,stopwords_removed,stemmed,final_text
kebersihan kurang...,kebersihan kurang,kebersihan kurang,"['kebersihan', 'kurang']","['kebersihan', 'kurang']",['kebersihan'],['bersih'],bersih
"sangat mengecewakan... hotel bad image, kebersihan kurang, berisik",sangat mengecewakan hotel bad image kebersihan kurang berisik,sangat mengecewakan hotel bad image kebersihan kurang berisik,"['sangat', 'mengecewakan', 'hotel', 'bad', 'image', 'kebersihan', 'kurang', 'berisik']","['sangat', 'mengecewakan', 'hotel', 'bad', 'image', 'kebersihan', 'kurang', 'berisik']","['mengecewakan', 'hotel', 'bad', 'image', 'kebersihan', 'berisik']","['kecewa', 'hotel', 'bad', 'image', 'bersih', 'berisik']",kecewa hotel bad image bersih berisik
Tempat nyaman bersih tapi tv terlalu tinggi tidak bisa di lihat ,Tempat nyaman bersih tapi tv terlalu tinggi tidak bisa di lihat,tempat nyaman bersih tapi tv terlalu tinggi tidak bisa di lihat,"['tempat', 'nyaman', 'bersih', 'tapi', 'tv', 'terlalu', 'tinggi', 'tidak', 'bisa', 'di', 'lihat']","['tempat', 'nyaman', 'bersih', 'tapi', 'tv', 'terlalu', 'tinggi', 'tidak', 'bisa', 'di', 'lihat']","['nyaman', 'bersih', 'tv', 'lihat']","['nyaman', 'bersih', 'tv', 'lihat']",nyaman bersih tv lihat
"semuanya bagus sesuai profile,dan harga promo untuk suite nya jg sangat murah..komplain cuma water heater yg kamar saya tidak keluar dan air keluar kecil",semuanya bagus sesuai profile dan harga promo untuk suite nya jg sangat murah komplain cuma water heater yg kamar saya tidak keluar dan air keluar kecil,semuanya bagus sesuai profile dan harga promo untuk suite nya jg sangat murah komplain cuma water heater yg kamar saya tidak keluar dan air keluar kecil,"['semuanya', 'bagus', 'sesuai', 'profile', 'dan', 'harga', 'promo', 'untuk', 'suite', 'nya', 'jg', 'sangat', 'murah', 'komplain', 'cuma', 'water', 'heater', 'yg', 'kamar', 'saya', 'tidak', 'keluar', 'dan', 'air', 'keluar', 'kecil']","['semuanya', 'bagus', 'sesuai', 'profile', 'dan', 'harga', 'promo', 'untuk', 'suite', 'nya', 'juga', 'sangat', 'murah', 'komplain', 'cuma', 'water', 'heater', 'yg', 'kamar', 'saya', 'tidak', 'keluar', 'dan', 'air', 'keluar', 'kecil']","['bagus', 'sesuai', 'profile', 'harga', 'promo', 'suite', 'nya', 'murah', 'komplain', 'water', 'heater', 'kamar', 'air']","['bagus', 'sesuai', 'profile', 'harga', 'promo', 'suite', 'nya', 'murah', 'komplain', 'water', 'heater', 'kamar', 'air']",bagus sesuai profile harga promo suite nya murah komplain water heater kamar air
"Tempat tidur sangat keras, bantal besar dan keras, air panas tidak berfungsi, AC kurang dingin biasanya setiap saya menginap di hotel/kost/penginapan yang bekerja sama dgn Airy Room selalu dapat snack & peralatan mandi, tapi kali ini tidak 1 pun yang saya dapatkan ",Tempat tidur sangat keras bantal besar dan keras air panas tidak berfungsi AC kurang dingin biasanya setiap saya menginap di hotel kost penginapan yang bekerja sama dgn Airy Room selalu dapat snack peralatan mandi tapi kali ini tidak pun yang saya dapatkan,tempat tidur sangat keras bantal besar dan keras air panas tidak berfungsi ac kurang dingin biasanya setiap saya menginap di hotel kost penginapan yang bekerja sama dgn airy room selalu dapat snack peralatan mandi tapi kali ini tidak pun yang saya dapatkan,"['tempat', 'tidur', 'sangat', 'keras', 'bantal', 'besar', 'dan', 'keras', 'air', 'panas', 'tidak', 'berfungsi', 'ac', 'kurang', 'dingin', 'biasanya', 'setiap', 'saya', 'menginap', 'di', 'hotel', 'kost', 'penginapan', 'yang', 'bekerja', 'sama', 'dgn', 'airy', 'room', 'selalu', 'dapat', 'snack', 'peralatan', 'mandi', 'tapi', 'kali', 'ini', 'tidak', 'pun', 'yang', 'saya', 'dapatkan']","['tempat', 'tidur', 'sangat', 'keras', 'bantal', 'besar', 'dan', 'keras', 'air', 'panas', 'tidak', 'berfungsi', 'ac', 'kurang', 'dingin', 'biasanya', 'setiap', 'saya', 'menginap', 'di', 'hotel', 'kost', 'penginapan', 'yang', 'bekerja', 'sama', 'dengan', 'airy', 'room', 'selalu', 'dapat', 'snack', 'peralatan', 'mandi', 'tapi', 'kali', 'ini', 'tidak', 'pun', 'yang', 'saya', 'dapatkan']","['tidur', 'keras', 'bantal', 'keras', 'air', 'panas', 'berfungsi', 'ac', 'dingin', 'menginap', 'hotel', 'kost', 'penginapan', 'airy', 'room', 'snack', 'peralatan', 'mandi', 'kali', 'dapatkan']","['tidur', 'keras', 'bantal', 'keras', 'air', 'panas', 'fungsi', 'ac', 'dingin', 'inap', 'hotel', 'kost', 'inap', 'airy', 'room', 'snack', 'alat', 'mandi', 'kali', 'dapat']",tidur keras bantal keras air panas fungsi ac dingin inap hotel kost inap airy room snack alat mandi kali dapat
selimut dan handuk ada kerak kotor.,selimut dan handuk ada kerak kotor,selimut dan handuk ada kerak kotor,"['selimut', 'dan', 'handuk', 'ada', 'kerak', 'kotor']","['selimut', 'dan', 'handuk', 'ada', 'kerak', 'kotor']","['selimut', 'handuk', 'kerak', 'kotor']","['selimut', 'handuk', 'kerak', 'kotor']",selimut handuk kerak kotor
"Kamar mandi perlu ditingkatkan lagi, showernya kurang nyala",Kamar mandi perlu ditingkatkan lagi showernya kurang nyala,kamar mandi perlu ditingkatkan lagi showernya kurang nyala,"['kamar', 'mandi', 'perlu', 'ditingkatkan', 'lagi', 'showernya', 'kurang', 'nyala']","['kamar', 'mandi', 'perlu', 'ditingkatkan', 'lagi', 'showernya', 'kurang', 'nyala']","['kamar', 'mandi', 'ditingkatkan', 'showernya', 'nyala']","['kamar', 'mandi', 'tingkat', 'showernya', 'nyala']",kamar mandi tingkat showernya nyala
Pelayanan minta sarapan lebih pagi tdk bisa kami lakukan karena syaratnya harus jam 7 pagi baru ters,Pelayanan minta sarapan lebih pagi tdk bisa kami lakukan karena syaratnya harus jam pagi baru ters,pelayanan minta sarapan lebih pagi tdk bisa kami lakukan karena syaratnya harus jam pagi baru ters,"['pelayanan', 'minta', 'sarapan', 'lebih', 'pagi', 'tdk', 'bisa', 'kami', 'lakukan', 'karena', 'syaratnya', 'harus', 'jam', 'pagi', 'baru', 'ters']","['pelayanan', 'minta', 'sarapan', 'lebih', 'pagi', 'tidak', 'bisa', 'kami', 'lakukan', 'karena', 'syaratnya', 'harus', 'jam', 'pagi', 'baru', 'ters']","['pelayanan', 'sarapan', 'pagi', 'lakukan', 'syaratnya', 'jam', 'pagi', 'ters']","['layan', 'sarap', 'pagi', 'laku', 'syarat', 'jam', 'pagi', 'ters']",layan sarap pagi laku syarat jam pagi ters
Kamar tidak sesuai dengan gambar...kurang bersih kasurnya tidak empuk...,Kamar tidak sesuai dengan gambar kurang bersih kasurnya tidak empuk,kamar tidak sesuai dengan gambar kurang bersih kasurnya tidak empuk,"['kamar', 'tidak', 'sesuai', 'dengan', 'gambar', 'kurang', 'bersih', 'kasurnya', 'tidak', 'empuk']","['kamar', 'tidak', 'sesuai', 'dengan', 'gambar', 'kurang', 'bersih', 'kasurnya', 'tidak', 'empuk']","['kamar', 'sesuai', 'gambar', 'bersih', 'kasurnya', 'empuk']","['kamar', 'sesuai', 'gambar', 'bersih', 'kasur', 'empuk']",kamar sesuai gambar bersih kasur empuk
"AC tidak dingin, kunci kamar tidak bisa dipakai karena kehabisan tap card sehingga tiap keluar masuk kamar harus panggil petugas, kamar byk ngengat kecil yg bikin gatal.",AC tidak dingin kunci kamar tidak bisa dipakai karena kehabisan tap card sehingga tiap keluar masuk kamar harus panggil petugas kamar byk ngengat kecil yg bikin gatal,ac tidak dingin kunci kamar tidak bisa dipakai karena kehabisan tap card sehingga tiap keluar masuk kamar harus panggil petugas kamar byk ngengat kecil yg bikin gatal,"['ac', 'tidak', 'dingin', 'kunci', 'kamar', 'tidak', 'bisa', 'dipakai', 'karena', 'kehabisan', 'tap', 'card', 'sehingga', 'tiap', 'keluar', 'masuk', 'kamar', 'harus', 'panggil', 'petugas', 'kamar', 'byk', 'ngengat', 'kecil', 'yg', 'bikin', 'gatal']","['ac', 'tidak', 'dingin', 'kunci', 'kamar', 'tidak', 'bisa', 'dipakai', 'karena', 'kehabisan', 'tap', 'card', 'sehingga', 'tiap', 'keluar', 'masuk', 'kamar', 'harus', 'panggil', 'petugas', 'kamar', 'byk', 'ngengat', 'kecil', 'yg', 'bikin', 'gatal']","['ac', 'dingin', 'kunci', 'kamar', 'dipakai', 'kehabisan', 'tap', 'card', 'masuk', 'kamar', 'panggil', 'petugas', 'kamar', 'byk', 'ngengat', 'gatal']","['ac', 'dingin', 'kunci', 'kamar', 'pakai', 'habis', 'tap', 'card', 'masuk', 'kamar', 'panggil', 'tugas', 'kamar', 'byk', 'ngengat', 'gatal']",ac dingin kunci kamar pakai habis tap card masuk kamar panggil tugas kamar byk ngengat gatal
